vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,maximum_speed,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
2270,30006,8003,80,1,S,30000,30006,0,1095,1,0,2,0,2,,0,0,314.217908,-122.58523166666667,45.65597666666667,2,5
2270,30121,8003,80,1,S,,30121,0,111,0,0,0,0,2,,0.5841,0.5474,170.865076,-122.57634833333333,45.65797333333333,2,2
2270,30253,8003,80,1,S,,30253,0,356,0,0,0,0,2,,1.3552,1.3707,10.077724,-122.56356333333333,45.664,2,2
2270,31625,8003,80,1,S,,31609,16,883,1,0,0,1,5,,8.5905,8.7427,50.291863,-122.50840666666667,45.604036666666666,2,2
2270,30597,8003,80,1,S,,30597,0,183,0,0,0,0,4,,2.6868,2.7278,43.062057,-122.558095,45.65679333333333,2,2
2270,30952,8003,80,1,S,,30952,0,899,0,0,0,0,5,,5.0536,5.1102,139.794237,-122.530755,45.64136833333333,2,2
2270,31157,8003,80,1,S,,31157,0,893,0,0,0,0,5,,6.2709,6.3343,200.873141,-122.53470333333334,45.624835,2,2
2270,31219,8003,80,1,S,,31204,15,889,1,0,1,0,6,,6.5114,6.6251,15.046596,-122.53426833333333,45.62121833333333,2,2
2270,31312,8003,80,1,S,31380,31312,0,1031,0,0,0,0,6,,6.7599,6.8593,58.389359,-122.53275833333333,45.618296666666666,2,4
2270,30225,8003,80,1,S,,30225,0,352,0,0,0,0,2,,1.1191,1.1129,10.29796,-122.56807,45.66199666666667,2,2
2270,30584,8003,80,1,S,,30535,49,181,1,0,1,0,4,,2.5588,2.6272,20.539879,-122.5581,45.658316666666664,2,2
2270,31496,8003,80,1,S,,31496,0,1079,0,0,0,0,6,,7.9312,8.007,210.618759,-122.5211,45.60735,2,2
2270,30683,8003,80,1,S,,30683,0,188,0,0,0,0,4,,3.3939,3.4107,156.066687,-122.55823333333333,45.64661,2,2
2270,30878,8003,80,1,S,,30878,0,620,0,0,0,0,5,,4.5428,4.5907,50.075929,-122.53953333333334,45.642873333333334,2,2
2270,30913,8003,80,1,S,,30913,0,621,0,0,0,0,5,,4.8479,4.8933,88.100996,-122.53314,45.64290166666667,2,2
2270,30980,8003,80,1,S,,30980,0,897,0,0,0,0,5,,5.2866,5.3401,28.591574,-122.53074333333333,45.63834166666667,2,2
2270,31178,8003,80,1,S,,31178,0,891,0,0,0,0,5,,6.366,6.4635,45.825322,-122.5347,45.623365,2,2
2270,31415,8003,80,1,S,,31415,0,1078,0,0,0,0,6,,7.3912,7.4726,137.81729,-122.53133166666667,45.609563333333334,2,2
2270,31667,8003,80,1,S,,31667,0,886,0,0,0,0,5,,8.8247,8.9459,37.402992,-122.509165,45.601215,2,2
2270,31707,8003,80,1,S,,31707,0,887,0,0,0,0,5,,9.0204,9.1317,86.932291,-122.50593333333333,45.59993,2,2
2270,30238,8003,80,1,S,,30238,0,354,0,0,0,0,2,,1.2316,1.2452,18.617427,-122.56573833333333,45.66311,2,2
2270,30427,8003,80,1,S,30360,30427,0,1202,0,0,0,0,3,,2.181,2.227,128.73017,-122.5641,45.65804166666667,2,4
2270,30621,8003,80,1,S,,30621,0,184,0,0,0,0,4,,2.8937,2.9204,42.586661,-122.55806,45.65423666666667,2,2
2270,30636,8003,80,1,S,,30636,0,186,0,0,0,0,4,,3.0279,3.0584,57.373648,-122.55805166666667,45.652265,2,2
2270,30651,8003,80,1,S,,30651,0,187,0,0,0,0,4,,3.1137,3.1497,14.07875,-122.55827,45.650803333333336,2,2
2270,30782,8003,80,1,S,30720,30758,24,616,1,0,1,0,5,,3.7009,3.7773,63.066651,-122.55626,45.64271,2,4
2270,30820,8003,80,1,S,,30820,0,618,0,0,0,0,5,,4.0277,4.0663,28.513911,-122.55049,45.64277666666667,2,2
2270,30280,8003,80,1,S,,30280,0,768,0,0,0,0,2,,1.5099,1.5199,44.224989,-122.56112666666667,45.664471666666664,2,2
2270,30386,8003,80,1,S,,30363,23,1201,1,0,1,0,3,,1.9337,2.0126,10.016403,-122.55943166666667,45.65884166666667,2,2
2270,30852,8003,80,1,S,,30852,0,619,0,0,0,0,5,,4.3142,4.3359,218.343876,-122.54410833333333,45.64284833333333,2,2
2270,31137,8003,80,1,S,,31137,0,894,0,0,0,0,5,,6.095,6.1429,290.315938,-122.53472166666667,45.627343333333336,2,2
2270,31372,8003,80,1,S,,31372,0,1077,0,0,0,0,6,,7.1476,7.2216,92.192489,-122.53259333333334,45.612655,2,2
2270,31533,8003,80,1,S,,31533,0,484,0,0,0,0,6,,8.2096,8.2885,91.046554,-122.51632,45.605695,2,2
2270,30495,8003,80,1,S,,30486,9,1207,1,0,0,1,2,,2.4171,2.4613,17.665296,-122.56040333333334,45.65848,2,2
2270,31065,8003,80,1,S,,31008,57,895,1,0,1,1,5,,5.4699,5.5756,4.936866,-122.53080333333334,45.634996666666666,2,2
2270,31101,8003,80,1,S,,31101,0,979,0,0,0,0,5,,5.7769,5.8446,14.691572,-122.53442666666666,45.632443333333335,2,2
2270,31566,8003,80,1,S,,31566,0,487,0,0,0,0,6,,8.3792,8.468,124.749742,-122.512545,45.60519333333333,2,2
2270,31785,8003,80,1,S,31980,31785,0,492,1,0,0,5,0,,9.3902,9.5387,242.019453,-122.50565333333333,45.59473,2,6
2270,32973,8003,80,0,S,,32973,0,885,0,0,0,0,6,,0.8146,0.8146,68.19566,-122.509115,45.601996666666665,2,2
2270,33105,8003,80,0,S,,33105,0,485,0,0,0,0,5,,1.454,1.4751,86.491573,-122.51753,45.606253333333335,2,2
2270,33284,8003,80,0,S,,33284,0,1082,0,0,0,0,4,,2.4998,2.5197,226.041405,-122.53242833333333,45.61375833333334,2,2
2270,33344,8003,80,0,S,,33329,15,1083,1,0,0,1,3,,2.7173,2.7924,8.55811,-122.53242,45.61708333333333,2,2
2270,33940,8003,80,0,S,,33940,0,310,0,0,0,0,5,,5.3363,5.4072,87.638511,-122.545035,45.64290833333333,2,2
2270,34032,8003,80,0,S,,34032,0,313,0,0,0,0,5,,5.9012,5.9596,227.21128,-122.55764833333333,45.642851666666665,2,2
2270,32914,8003,80,0,S,,32914,0,888,0,0,0,0,6,,0.5412,0.5418,163.003717,-122.50590333333334,45.599975,2,2
2270,33429,8003,80,0,S,,33429,0,890,0,0,0,0,3,,3.0571,3.0982,127.701557,-122.53433333333334,45.62152,2,2
2270,33956,8003,80,0,S,,33956,0,311,0,0,0,0,5,,5.473,5.5451,115.374468,-122.54866,45.64288666666667,2,2
2270,34313,8003,80,0,S,,34313,0,1207,0,0,0,0,6,,7.5739,7.6621,21.874576,-122.56031333333334,45.65851,2,2
2270,34650,8003,80,0,S,,34650,0,353,0,0,0,0,5,,8.5668,8.6681,11.902512,-122.569035,45.661653333333334,2,2
2270,34070,8003,80,0,S,,34070,0,189,0,0,0,0,5,,6.2261,6.3206,52.560265,-122.55818833333333,45.64726666666667,2,2
2270,34098,8003,80,0,S,,34098,0,770,0,0,0,0,5,,6.4859,6.5785,174.203974,-122.55791833333333,45.651293333333335,2,2
2270,34120,8003,80,0,S,,34120,0,785,0,0,0,0,5,,6.6791,6.7804,49.601189,-122.55787166666667,45.653895,2,2
2270,34130,8003,80,0,S,,34130,0,185,0,0,0,0,5,,6.7792,6.8891,19.814194,-122.55788166666666,45.65528166666667,2,2
2270,34220,8003,80,0,S,,34220,0,1201,0,0,0,0,6,,7.1004,7.2135,131.733109,-122.55988166666667,45.658678333333334,2,2
2270,34613,8003,80,0,S,,34613,0,773,0,0,0,0,5,,8.4482,8.5569,17.167861,-122.56724333333334,45.66254333333333,2,2
2270,34734,8003,80,0,S,,34734,0,112,0,0,0,0,5,,9.1298,9.2087,265.043179,-122.57863,45.65828166666667,2,2
2270,33259,8003,80,0,S,,33259,0,1081,0,0,0,0,4,,2.3016,2.3127,103.777729,-122.53244166666667,45.61042,2,2
2270,33796,8003,80,0,S,,33796,0,308,0,0,0,0,4,,4.8206,4.8896,10.128194,-122.53469,45.64295166666667,2,2
2270,33903,8003,80,0,S,,33834,69,309,1,0,1,0,5,,5.053,5.1537,46.291925,-122.540305,45.64293333333333,2,2
2270,34431,8003,80,0,S,,34431,0,769,0,0,0,0,6,,8.0163,8.0971,59.81556,-122.56008333333334,45.66338833333333,2,2
2270,32819,8003,80,0,S,32820,32819,0,492,1,0,6,0,6,,0,0,70.007063,-122.50484,45.594098333333335,2,5
2270,34565,8003,80,0,S,,34565,0,357,0,0,0,0,6,,8.2139,8.3053,32.515011,-122.56286833333333,45.664415,2,2
2270,32988,8003,80,0,S,,32988,0,884,0,0,0,0,6,,0.9203,0.9376,15.36885,-122.50847166666667,45.603516666666664,2,2
2270,33450,8003,80,0,S,,33450,0,892,0,0,0,0,3,,3.2299,3.2647,132.981942,-122.534555,45.62390166666667,2,2
2270,33776,8003,80,0,S,,33776,0,324,0,0,0,0,4,,4.6696,4.738,39.370433,-122.53169166666666,45.64297,2,2
2270,34172,8003,80,0,S,,34147,25,182,1,0,1,0,6,,6.8643,7.0041,19.137398,-122.55789,45.656951666666664,2,2
2270,33163,8003,80,0,S,,33149,14,1080,1,0,0,1,4,,1.6684,1.7349,57.428855,-122.52184,45.607775,2,2
2270,33414,8003,80,0,S,33420,33414,0,747,0,0,0,0,3,,2.9329,2.9782,115.508465,-122.53279833333333,45.620063333333334,2,4
2270,33514,8003,80,0,S,,33514,0,921,0,0,0,0,3,,3.6008,3.6176,127.857632,-122.53458166666667,45.62900333333333,2,2
2270,33664,8003,80,0,S,,33649,15,898,1,0,1,0,4,,4.3403,4.431,14.995512,-122.53057833333334,45.639048333333335,2,2
2270,33985,8003,80,0,S,,33985,0,312,0,0,0,0,5,,5.6365,5.7054,114.667065,-122.55194,45.64286,2,2
2270,34042,8003,80,0,S,34020,34042,0,845,0,0,0,0,5,,5.959,6.0584,49.939794,-122.55788,45.643208333333334,2,4
2270,34259,8003,80,0,S,34380,34259,0,1202,0,0,0,0,6,,7.3278,7.4279,186.550085,-122.56427166666667,45.657939999999996,2,4
2270,33079,8003,80,0,S,,33064,15,486,1,0,0,1,5,,1.2508,1.2987,19.541013,-122.51386333333333,45.605376666666665,2,2
2270,33603,8003,80,0,S,,33603,0,896,0,0,0,0,3,,4.0333,4.0818,27.766852,-122.53091,45.63409,2,2
2270,34591,8003,80,0,S,,34583,8,355,1,0,0,1,5,,8.3084,8.4258,1.356887,-122.56493166666667,45.663623333333334,2,2
2270,34812,8003,80,0,S,35100,34812,0,1095,1,0,0,5,0,,9.4827,9.6791,147.07356,-122.58461333333334,45.65611666666667,2,6
2270,36048,8003,7,0,S,,36048,0,1043,0,0,0,0,2,,2.4905,2.4787,70.120965,-122.55247333333334,45.675088333333335,2,2
2270,37179,8003,7,0,S,,37179,0,157,0,0,0,0,1,,10.8025,10.9243,50.786385,-122.54577166666667,45.780665,2,2
2270,35754,8003,7,0,S,,35754,0,352,0,0,0,0,2,,1.1502,1.1067,72.168369,-122.56781166666667,45.66211333333333,2,2
2270,36113,8003,7,0,S,,36113,0,569,0,0,0,0,2,,3.1907,3.1982,30.330933,-122.55248166666667,45.68527,2,2
2270,37201,8003,7,0,S,,37201,0,159,0,0,0,0,1,,10.9467,11.0716,20.75509,-122.543,45.780705,2,2
2270,37222,8003,7,0,S,,37222,0,160,0,0,0,0,1,,11.0853,11.2114,140.842116,-122.53948666666666,45.78075833333333,2,2
2270,37396,8003,7,0,S,,37396,0,164,0,0,0,0,2,,11.5681,11.6979,20.617304,-122.52988833333333,45.780928333333335,2,2
2270,36073,8003,7,0,S,,36073,0,140,0,0,0,0,2,,2.7521,2.7434,32.097263,-122.552475,45.678821666666664,2,2
2270,36514,8003,7,0,S,,36514,0,844,0,0,0,0,2,,6.3044,6.3218,299.34232,-122.55189666666666,45.731366666666666,2,2
2270,37467,8003,7,0,S,37320,37467,0,867,0,0,0,0,2,,11.9856,12.136,188.7876,-122.52701,45.77545666666666,2,6
2270,35767,8003,7,0,S,,35767,0,354,0,0,0,0,2,,1.2583,1.239,59.37071,-122.56558333333334,45.663176666666665,2,2
2270,35783,8003,7,0,S,,35783,0,356,0,0,0,0,2,,1.3826,1.3645,20.381618,-122.56349,45.66402333333333,2,2
2270,35820,8003,7,0,S,,35820,0,358,0,0,0,0,2,,1.5435,1.5205,190.283252,-122.56009666666667,45.665366666666664,2,2
2270,36102,8003,7,0,S,,36102,0,141,0,0,0,0,2,,3.0683,3.0528,150.819315,-122.55247666666666,45.68363,2,2
2270,36245,8003,7,0,S,,36245,0,835,0,0,0,0,2,,3.5654,3.5791,154.437452,-122.55271166666667,45.691266666666664,2,2
2270,36347,8003,7,0,S,36240,36347,0,144,0,0,0,0,2,,4.61,4.6249,65.341225,-122.5527,45.70616,2,4
2270,36938,8003,7,0,S,,36938,0,872,0,0,0,0,2,,10.0022,10.0737,236.228706,-122.55823166666667,45.777590000000004,2,2
2270,37000,8003,7,0,S,36840,37000,0,676,0,0,0,0,2,,10.2545,10.3607,36.020353,-122.55747833333334,45.78052,2,4
2270,35484,8003,7,0,S,35400,35484,0,1095,1,0,2,0,2,,0,0,255.006999,-122.58499833333333,45.655986666666664,2,5
2270,37079,8003,7,0,S,,37079,0,156,0,0,0,0,1,,10.6261,10.7522,12.720527,-122.54948333333333,45.78062,2,2
2270,35837,8003,7,0,S,,35837,0,729,0,0,0,0,2,,1.6671,1.6479,109.137258,-122.55794833333333,45.66593,2,2
2270,35869,8003,7,0,S,,35869,0,1138,0,0,0,0,2,,1.7939,1.7995,36.87214,-122.55646833333333,45.666916666666665,2,2
2270,36011,8003,7,0,S,,36011,0,1042,0,0,0,0,2,,2.1804,2.1686,168.822938,-122.55248833333333,45.67088,2,2
2270,36267,8003,7,0,S,,36267,0,142,0,0,0,0,2,,3.7736,3.8003,44.701082,-122.55272333333333,45.693938333333335,2,2
2270,36817,8003,7,0,S,,36817,0,1009,0,0,0,0,2,,9.1503,9.2243,146.433381,-122.55027666666666,45.769843333333334,2,2
2270,37375,8003,7,0,S,,37375,0,163,0,0,0,0,2,,11.4612,11.5911,31.770986,-122.53205833333334,45.780903333333335,2,2
2270,37437,8003,7,0,S,,37437,0,869,0,0,0,0,2,,11.8315,11.9689,124.339719,-122.52758333333334,45.77774,2,2
2270,35617,8003,7,0,S,,35617,0,111,0,0,0,0,2,,0.5785,0.5412,88.173004,-122.57664333333334,45.658075,2,2
2270,36305,8003,7,0,S,,36305,0,143,0,0,0,0,2,,4.18,4.1949,144.484297,-122.55268833333334,45.70015333333333,2,2
2270,37338,8003,7,0,S,,37286,52,162,1,0,1,0,2,,11.2102,11.3705,48.140819,-122.536565,45.78082333333333,2,2
2270,37022,8003,7,0,S,,37014,8,706,1,0,0,1,1,,10.3272,10.4745,9.708226,-122.55524333333334,45.78055833333333,2,2
2270,37598,8003,7,1,S,,37598,0,1003,0,0,0,0,2,,0.8444,0.8575,217.938859,-122.53731333333333,45.779825,2,2
2270,38763,8003,7,1,S,,38763,0,152,0,0,0,0,1,,9.2274,9.3827,177.398351,-122.55266666666667,45.680951666666665,2,2
2270,39268,8003,7,1,S,,39268,0,355,0,0,0,0,1,,10.8001,11.0194,69.492877,-122.56515,45.66350666666666,2,2
2270,39299,8003,7,1,S,,39299,0,353,0,0,0,0,1,,11.0405,11.2617,7.482159,-122.56909,45.66162166666667,2,2
2270,37806,8003,7,1,S,,37806,0,510,0,0,0,0,2,,1.6112,1.6497,28.178156,-122.55132333333333,45.78074,2,2
2270,38292,8003,7,1,S,,38292,0,155,0,0,0,0,1,,5.972,6.0938,134.320453,-122.55251,45.72871166666667,2,2
2270,38505,8003,7,1,S,,38505,0,148,0,0,0,0,1,,8.0132,8.1338,126.377355,-122.55287333333334,45.699193333333334,2,2
2270,38610,8003,7,1,S,,38610,0,820,0,0,0,0,1,,8.6228,8.7881,33.050509,-122.55280333333333,45.68996333333333,2,2
2270,37992,8003,7,1,S,,37992,0,1010,0,0,0,0,2,,2.9484,2.9888,270.643066,-122.55071333333333,45.76978166666667,2,2
2270,38808,8003,7,1,S,,38808,0,817,0,0,0,0,1,,9.4113,9.5772,155.817346,-122.55266833333333,45.67819166666666,2,2
2270,38906,8003,7,1,S,,38906,0,1040,0,0,0,0,1,,9.7214,9.8748,146.680642,-122.55266333333333,45.673903333333335,2,2
2270,39152,8003,7,1,S,,39152,0,732,0,0,0,0,1,,10.4428,10.6665,52.497847,-122.55860666666666,45.665863333333334,2,2
2270,39253,8003,7,1,S,,39253,0,357,0,0,0,0,1,,10.6926,10.8989,118.801563,-122.56315166666667,45.66429,2,2
2270,37467,8003,7,1,S,37440,37467,0,867,0,0,0,0,2,,0,0,188.7876,-122.52701,45.77545666666666,2,5
2270,37663,8003,7,1,S,,37663,0,161,0,0,0,0,2,,1.0831,1.1023,216.148513,-122.54090833333333,45.780858333333335,2,2
2270,39144,8003,7,1,S,,39144,0,839,0,0,0,0,1,,10.3837,10.5826,128.313097,-122.55725333333334,45.666185,2,2
2270,37718,8003,7,1,S,,37718,0,158,0,0,0,0,2,,1.2918,1.3161,219.387045,-122.545335,45.78081,2,2
2270,38560,8003,7,1,S,,38560,0,149,0,0,0,0,1,,8.4258,8.578,67.328146,-122.55291666666666,45.69291666666667,2,2
2270,39513,8003,7,1,S,39600,39513,0,1095,1,0,0,3,0,,11.9602,12.2354,211.234538,-122.58485333333333,45.65607,2,6
2270,37814,8003,7,1,S,,37814,0,983,0,0,0,0,2,,1.6802,1.7467,96.862121,-122.55305166666666,45.780695,2,2
2270,37885,8003,7,1,S,,37885,0,870,0,0,0,0,2,,2.1804,2.2363,35.930812,-122.55829833333334,45.77706333333333,2,2
2270,38621,8003,7,1,S,,38621,0,150,0,0,0,0,1,,8.7259,8.903,122.376666,-122.55269833333334,45.688716666666664,2,2
2270,37865,8003,7,1,S,37980,37865,0,165,0,0,0,0,2,,2.0052,2.0468,72.146524,-122.55836666666667,45.779518333333336,2,4
2270,38462,8003,7,1,S,38580,38462,0,146,0,0,0,0,1,,7.595,7.7149,241.635584,-122.55293,45.70493833333333,2,4
2270,39285,8003,7,1,S,,39285,0,773,0,0,0,0,1,,10.9318,11.1505,25.111203,-122.56710833333334,45.66260166666667,2,2
2270,37495,8003,7,1,S,,37495,0,1001,0,0,0,0,2,,0.1758,0.174,69.973585,-122.53004,45.77542166666667,2,2
2270,37555,8003,7,1,S,,37555,0,1002,0,0,0,0,2,,0.5307,0.5437,99.342304,-122.53728833333334,45.77507666666666,2,2
2270,38649,8003,7,1,S,,38649,0,151,0,0,0,0,1,,8.9496,9.113,119.521622,-122.55266333333333,45.685021666666664,2,2
2270,38984,8003,7,1,S,,38984,0,1041,0,0,0,0,1,,10.0047,10.1613,179.953899,-122.553295,45.669915,2,2
2270,39428,8003,7,1,S,,39428,0,112,0,0,0,0,1,,11.6029,11.8023,304.870111,-122.57878333333333,45.658295,2,2
2270,41485,8003,80,1,S,,41485,0,186,0,0,0,0,6,,3.0186,3.0584,102.258554,-122.55804666666667,45.65239,2,2
2270,41524,8003,80,1,S,,41524,0,188,0,0,0,0,6,,3.3865,3.4107,45.579761,-122.55828666666666,45.64691333333333,2,2
2270,41640,8003,80,1,S,,41640,0,618,0,0,0,0,6,,4.0184,4.0663,50.960266,-122.55072,45.642785,2,2
2270,42003,8003,80,1,S,,42003,0,893,0,0,0,0,6,,6.251,6.3343,68.714089,-122.53469666666666,45.62524,2,2
2270,41299,8003,80,1,S,,41299,0,1207,0,0,0,0,4,,2.4358,2.4613,38.207991,-122.56025166666667,45.6585,2,2
2270,41472,8003,80,1,S,,41472,0,184,0,0,0,0,6,,2.8788,2.9204,50.984476,-122.55804833333333,45.653983333333336,2,2
2270,41750,8003,80,1,S,,41750,0,621,0,0,0,0,6,,4.8486,4.8933,53.321717,-122.53327833333333,45.64290833333333,2,2
2270,41981,8003,80,1,S,,41981,0,894,0,0,0,0,6,,6.0739,6.1429,185.547092,-122.53471,45.627631666666666,2,2
2270,40788,8003,80,1,S,40800,40788,0,1095,1,0,3,0,4,,0,0,280.547324,-122.58509833333333,45.65598,2,5
2270,41881,8003,80,1,S,,41881,0,895,0,0,0,0,6,,5.496,5.5756,113.677749,-122.53078666666667,45.63469833333333,2,2
2270,42249,8003,80,1,S,,42249,0,1077,0,0,0,0,5,,7.1507,7.2216,205.73291,-122.532585,45.612343333333335,2,2
2270,42410,8003,80,1,S,,42410,0,484,0,0,0,0,5,,8.1853,8.2885,145.454676,-122.516125,45.605635,2,2
2270,41497,8003,80,1,S,,41497,0,187,0,0,0,0,6,,3.105,3.1497,77.879882,-122.558305,45.65063,2,2
2270,41671,8003,80,1,S,,41671,0,619,0,0,0,0,6,,4.2856,4.3359,113.890961,-122.54451333333333,45.64285666666667,2,2
2270,41791,8003,80,1,S,,41791,0,899,0,0,0,0,6,,5.0555,5.1102,190.790382,-122.53074833333334,45.64122833333333,2,2
2270,41817,8003,80,1,S,,41817,0,897,0,0,0,0,6,,5.2885,5.3401,166.325225,-122.53073666666667,45.637955,2,2
2270,41916,8003,80,1,S,,41916,0,979,0,0,0,0,6,,5.7707,5.8446,166.508229,-122.53467166666667,45.63202666666667,2,2
2270,42527,8003,80,1,S,,42527,0,886,0,0,0,0,5,,8.8316,8.9459,110.621399,-122.50903833333334,45.601035,2,2
2270,42563,8003,80,1,S,,42563,0,887,0,0,0,0,5,,9.0161,9.1317,83.224534,-122.505915,45.599945,2,2
2270,41360,8003,80,1,S,,41337,23,181,1,0,1,0,5,,2.5545,2.6272,13.409607,-122.55810833333334,45.658406666666664,2,2
2270,42194,8003,80,1,S,42180,42194,0,1031,0,0,0,0,5,,6.7798,6.8593,165.400387,-122.53266666666667,45.61769,2,4
2270,42442,8003,80,1,S,,42442,0,487,0,0,0,0,5,,8.3512,8.468,19.92184,-122.51304666666667,45.605199999999996,2,2
2270,42647,8003,80,1,S,42780,42647,0,492,1,0,0,5,0,,9.3802,9.5387,239.510108,-122.50564666666666,45.594725,2,6
2270,41047,8003,80,1,S,,41047,0,354,0,0,0,0,4,,1.2403,1.2452,30.433507,-122.56569333333333,45.663135,2,2
2270,41064,8003,80,1,S,,41064,0,356,0,0,0,0,4,,1.3639,1.3707,31.763049,-122.56365833333334,45.663961666666665,2,2
2270,41099,8003,80,1,S,,41099,0,768,0,0,0,0,4,,1.4882,1.5199,31.92974,-122.56128166666667,45.66463666666667,2,2
2270,41611,8003,80,1,S,41520,41611,0,616,0,0,0,0,6,,3.7605,3.7773,299.355031,-122.55534666666667,45.64272833333333,2,4
2270,42491,8003,80,1,S,,42491,0,883,0,0,0,0,5,,8.6371,8.7427,181.206462,-122.50854,45.60369,2,2
2270,41206,8003,80,1,S,,41206,0,1201,0,0,0,0,4,,2.0014,2.0126,288.446541,-122.56047833333334,45.658586666666665,2,2
2270,41241,8003,80,1,S,41160,41241,0,1202,0,0,0,0,4,,2.1773,2.227,115.215556,-122.564055,45.65806166666667,2,4
2270,40938,8003,80,1,S,,40938,0,111,0,0,0,0,4,,0.5586,0.5474,108.077735,-122.57656833333333,45.65806166666667,2,2
2270,41033,8003,80,1,S,,41033,0,352,0,0,0,0,4,,1.1297,1.1129,89.814242,-122.56776,45.662145,2,2
2270,41446,8003,80,1,S,,41381,65,183,1,0,1,0,6,,2.652,2.7278,45.000801,-122.55809166666667,45.65678833333333,2,2
2270,41702,8003,80,1,S,,41702,0,620,0,0,0,0,6,,4.541,4.5907,119.600287,-122.539265,45.642885,2,2
2270,42077,8003,80,1,S,,42024,53,891,1,0,0,1,5,,6.3361,6.4635,25.797928,-122.53469833333334,45.623421666666665,2,2
2270,42099,8003,80,1,S,,42099,0,889,0,0,0,0,5,,6.53,6.6251,39.171921,-122.53413166666667,45.621116666666666,2,2
2270,42294,8003,80,1,S,,42294,0,1078,0,0,0,0,5,,7.3943,7.4726,258.689613,-122.53088166666667,45.609465,2,2
2270,42372,8003,80,1,S,,42372,0,1079,0,0,0,0,5,,7.9057,8.007,96.135889,-122.5215,45.607488333333336,2,2
2270,44391,8003,80,0,S,,44391,0,890,0,0,0,0,5,,3.0391,3.0982,29.641741,-122.53400333333333,45.621188333333336,2,2
2270,45103,8003,80,0,S,,45103,0,189,0,0,0,0,10,,6.2268,6.3206,153.809166,-122.55819333333334,45.64754833333333,2,2
2270,45151,8003,80,0,S,,45151,0,785,0,0,0,0,10,,6.6766,6.7804,42.172177,-122.557875,45.653643333333335,2,2
2270,43858,8003,80,0,S,,43858,0,885,0,0,0,0,5,,0.8115,0.8146,190.122379,-122.50899,45.60232166666667,2,2
2270,44688,8003,80,0,S,,44688,0,898,0,0,0,0,6,,4.3943,4.431,67.640599,-122.5306,45.639271666666666,2,2
2270,45706,8003,80,0,S,,45697,9,355,1,0,0,1,13,,8.304,8.4258,14.209663,-122.56489,45.66364333333333,2,2
2270,45728,8003,80,0,S,,45728,0,773,0,0,0,0,13,,8.4444,8.5569,12.255627,-122.56715833333334,45.662595,2,2
2270,44004,8003,80,0,S,,44004,0,486,0,0,0,0,6,,1.2844,1.2987,77.179843,-122.51410833333334,45.60537333333333,2,2
2270,44869,8003,80,0,S,,44869,0,309,0,0,0,0,5,,5.1133,5.1537,206.762294,-122.54092833333333,45.642923333333336,2,2
2270,45373,8003,80,0,S,45180,45373,0,1202,0,0,0,0,14,,7.3241,7.4279,227.145654,-122.564375,45.657855,2,4
2270,43787,8003,80,0,S,,43787,0,888,0,0,0,0,5,,0.5381,0.5418,56.916018,-122.505905,45.59968166666667,2,2
2270,44078,8003,80,0,S,,44078,0,1080,0,0,0,0,6,,1.7299,1.7349,218.713937,-122.522845,45.60801,2,2
2270,44494,8003,80,0,S,,44459,35,892,1,0,1,0,6,,3.1789,3.2647,16.854904,-122.53452,45.623495,2,2
2270,44893,8003,80,0,S,,44893,0,310,0,0,0,0,5,,5.3407,5.4072,123.436547,-122.54584666666666,45.642898333333335,2,2
2270,44907,8003,80,0,S,,44907,0,311,0,0,0,0,5,,5.4643,5.5451,131.815852,-122.54771166666667,45.64288833333333,2,2
2270,45560,8003,80,0,S,,45560,0,769,0,0,0,0,14,,8.0101,8.0971,16.320132,-122.55999833333334,45.663215,2,2
2270,45679,8003,80,0,S,,45679,0,357,0,0,0,0,14,,8.2071,8.3053,35.883662,-122.56264333333333,45.66451333333333,2,2
2270,44183,8003,80,0,S,,44170,13,1081,1,0,0,2,4,,2.2456,2.3127,39.339706,-122.53240666666667,45.610245,2,2
2270,44212,8003,80,0,S,,44212,0,1082,0,0,0,0,4,,2.4662,2.5197,24.771795,-122.53242333333333,45.61308666666667,2,2
2270,44377,8003,80,0,S,44220,44377,0,747,0,0,0,0,5,,2.9161,2.9782,69.354785,-122.53257166666667,45.619595,2,4
2270,44807,8003,80,0,S,,44760,47,324,1,0,0,1,5,,4.6628,4.738,130.221748,-122.53204333333333,45.642985,2,2
2270,44934,8003,80,0,S,,44934,0,312,0,0,0,0,5,,5.6259,5.7054,53.008863,-122.55169,45.64286,2,2
2270,45278,8003,80,0,S,,45231,47,182,1,0,2,0,14,,6.8599,7.0041,38.175156,-122.55787333333333,45.657106666666664,2,2
2270,45336,8003,80,0,S,,45336,0,1201,0,0,0,0,14,,7.0979,7.2135,29.043741,-122.55950333333334,45.65877166666667,2,2
2270,44289,8003,80,0,S,,44264,25,1083,1,0,1,0,5,,2.711,2.7924,16.28265,-122.532415,45.617045,2,2
2270,45003,8003,80,0,S,,44969,34,313,1,0,5,0,10,,5.8452,5.9596,54.095891,-122.55697666666667,45.642871666666665,2,2
2270,45210,8003,80,0,S,,45167,43,185,1,0,3,1,12,,6.7475,6.8891,2.783258,-122.55787166666667,45.655335,2,2
2270,43683,8003,80,0,S,43620,43683,0,492,1,0,5,0,5,,0,0,60.737166,-122.504865,45.594116666666665,2,5
